TransactionID,Item1,Item2,Item3,Item4,Item5
1,pork,peppers,chicken,,
2,chicken,beer,ice_cream,olives,
3,pork,peppers,,,
4,baguette,fish,wine,ham,
5,soda,olives,beer,potato,peppers
6,baguette,fish,,,
7,soda,chicken,beer,,
8,fish,pork,,,
9,beef,peppers,chicken,fish,apples
10,wine,lobster,,,
11,fish,peppers,beef,ham,ice_cream
12,fish,pork,turkey,chicken,coke
13,avocado,cracker,,,
14,baguette,fish,beer,,
15,chicken,beer,,,
16,baguette,soda,,,
17,wine,lobster,,,
18,pork,peppers,,,
19,fish,beef,,,
20,olives,whiskey,ice_cream,,
21,pork,peppers,chicken,,
22,avocado,cracker,ham,fish,baguette
23,chicken,beer,ice_cream,beef,
24,olives,whiskey,,,
25,olives,whiskey,ice_cream,,
26,fish,pork,,,
27,olives,whiskey,,,
28,baguette,fish,,,
29,chicken,beer,ice_cream,avocado,
30,avocado,cracker,ham,fish,
31,wine,lobster,,,
32,fish,pork,turkey,coke,
33,soda,olives,beer,,
34,baguette,chicken,beer,,
35,soda,olives,beer,beef,fish
36,soda,olives,,,
37,soda,peppers,beer,potato,
38,chicken,beer,ice_cream,pork,
39,pork,peppers,chicken,,
40,olives,whiskey,ice_cream,potato,
41,avocado,cracker,ham,,
42,fish,beef,,,
43,olives,whiskey,,,
44,fish,pork,turkey,cracker,
45,fish,beef,chicken,whiskey,beer
46,baguette,soda,,,
47,olives,whiskey,ice_cream,apples,
48,soda,chicken,beer,,
49,avocado,cracker,,,
50,fish,pork,,,
51,fish,pork,beef,baguette,
52,fish,pork,beef,,
53,baguette,fish,beer,,
54,soda,peppers,beer,pork,fish
55,baguette,fish,wine,,
56,fish,beef,,,
57,soda,chicken,beer,,
58,fish,pork,,,
59,soda,olives,,,
60,baguette,soda,,,
61,baguette,lobster,avocado,,
62,pork,peppers,,,
63,fish,peppers,chicken,wine,
64,baguette,lobster,avocado,,
65,avocado,cracker,ham,pork,lobster
66,baguette,soda,beer,pork,
67,baguette,soda,beer,,
68,avocado,cracker,ham,,
69,soda,chicken,beer,,
70,fish,pork,beef,coke,
71,fish,pork,turkey,ice_cream,potato
72,fish,pork,turkey,,
73,wine,lobster,,,
74,olives,whiskey,,,
75,fish,beef,turkey,peppers,
76,soda,olives,cracker,,
77,fish,pork,beef,peppers,
78,baguette,fish,,,
79,chicken,beer,ice_cream,pork,
80,chicken,beer,,,
81,baguette,soda,beer,lobster,
82,baguette,lobster,avocado,turkey,
83,fish,pork,,,
84,olives,whiskey,,,
85,soda,chicken,beer,,
86,baguette,soda,cracker,olives,avocado
87,pork,peppers,,,
88,olives,whiskey,ice_cream,,
89,fish,pork,beef,baguette,chicken
90,beer,peppers,chicken,ice_cream,
91,chicken,beer,ice_cream,potato,beef
92,soda,olives,beer,,
93,baguette,lobster,avocado,cracker,
94,baguette,soda,,,
95,avocado,cracker,ham,beef,olives
96,baguette,soda,beer,ice_cream,
97,chicken,beer,,,
98,baguette,lobster,avocado,beef,
99,pork,peppers,,,
100,baguette,fish,,,
